ID	MaternalHaploPop	PaternalHaploPop	HaploSeed
JC83UA9	MHDBP000022	MHDBP000032	3926634780
RJ0Lbxp	MHDBP000077	MHDBP000077	313284217
LFuYiqr	MHDBP000022	MHDBP000022	2092523606
QaViQku	MHDBP000022	MHDBP000022	752436973
OT9wlYQ	MHDBP000022	MHDBP000022	3925791605
KjiMDdW	MHDBP000083	MHDBP000022	171650252
YxSbKEG	MHDBP000075	MHDBP000022	1537668227
LQZlYBI	MHDBP000003	MHDBP000003	4093541226
Sw1DGrc	MHDBP000022	MHDBP000022	2265196057
63ROOpo	MHDBP000022	MHDBP000022	1919965689
DqMRvFn	MHDBP000004	MHDBP000004	3750196693
Qz2yVGP	MHDBP000022	MHDBP000022	145237542
Jm4HIZh	MHDBP000022	MHDBP000043	3358356996
XXRA5ry	MHDBP000022	MHDBP000022	1985632311
8EeUl2E	MHDBP000022	MHDBP000022	3473235086
YtuLUaw	MHDBP000075	MHDBP000075	1998260245
M3QoD46	MHDBP000022	MHDBP000022	2750577782
8DPVXTG	MHDBP000077	MHDBP000077	109764949
wlTAdQj	MHDBP000022	MHDBP000022	461831792
D3Q10zM	MHDBP000022	MHDBP000022	621732532
dXG837V	MHDBP000022	MHDBP000022	4021545443
1bBWlHt	MHDBP000065	MHDBP000004	916279387
dxZxoYh	MHDBP000042	MHDBP000042	1735667424
OdSH0Y9	MHDBP000042	MHDBP000042	496537631
hXFmow9	MHDBP000022	MHDBP000022	2782980919
NjuQNoy	MHDBP000022	MHDBP000022	869035836
LOxesAd	MHDBP000004	MHDBP000004	651183148
gWq0eZN	MHDBP000022	MHDBP000022	233125105
mapQxno	MHDBP000004	MHDBP000004	2253310864
UV3Gv2j	MHDBP000022	MHDBP000022	1310717268
txH7Y9s	MHDBP000003	MHDBP000003	3173833625
6xt6far	MHDBP000022	MHDBP000022	2418565860
eCD1Dpd	MHDBP000023	MHDBP000023	2954332409
OHqCJ8f	MHDBP000022	MHDBP000022	163989100
UCUNhxN	MHDBP000065	MHDBP000065	1493722833
peVDQNB	MHDBP000004	MHDBP000004	3373091449
Z0qR6Kr	MHDBP000022	MHDBP000022	4126975836
MkDHUvf	MHDBP000022	MHDBP000022	2683323588
rAuGCB3	MHDBP000022	MHDBP000022	22145305
YoiP07s	MHDBP000022	MHDBP000022	906992963
ZKcE5nd	MHDBP000022	MHDBP000022	369385221
vVXyHfY	MHDBP000022	MHDBP000022	3799082791
HgrgNsV	MHDBP000022	MHDBP000022	400638593
ggQ3VHW	MHDBP000022	MHDBP000022	117431042
4fNhLzx	MHDBP000022	MHDBP000022	930322602
HTp70py	MHDBP000022	MHDBP000022	2068657398
BfhTtOW	MHDBP000065	MHDBP000065	652892407
9dPOrQN	MHDBP000022	MHDBP000022	1727853696
Xj85hP4	MHDBP000022	MHDBP000022	2625814279
7hAFGDJ	MHDBP000022	MHDBP000022	1060490879
JhiaoaY	MHDBP000003	MHDBP000003	3527768940
8OgU8Xe	MHDBP000011	MHDBP000011	1752175391
