ID	Contributors	SeqSeeds	Proportions
SuMJHGl	JC83UA9	1238676975	1.000
YiJ2L7O	RJ0Lbxp	4086224284	1.000
iLW1XuE	LFuYiqr	2038508849	1.000
uTCQvzq	QaViQku	3574831520	1.000
JrVNyZ5	OT9wlYQ	3875515588	1.000
FVdeTQD	KjiMDdW	4091122602	1.000
L08SEk5	YxSbKEG	3490003611	1.000
KX6E2Ko	LQZlYBI	4123235874	1.000
pFoAcuh	Sw1DGrc	950071610	1.000
YfKv5pi	63ROOpo	3062695461	1.000
7WLawxa	DqMRvFn	1181210072	1.000
tWkWcRw	Qz2yVGP	340715183	1.000
1ohlEvU	Jm4HIZh	601813013	1.000
UdytpO4	XXRA5ry	1450445723	1.000
Jc6hB3K	8EeUl2E	3058558217	1.000
CfdZfNF	YtuLUaw	99954226	1.000
2sfwSCy	M3QoD46	3643388325	1.000
u31wQZM	8DPVXTG	2558931556	1.000
91inzi2	wlTAdQj	2556675316	1.000
DDqatYo	D3Q10zM	2230142967	1.000
sYsPk21	dXG837V	3596512363	1.000
R6hFfu0	1bBWlHt	960380856	1.000
DahKOsS	dxZxoYh	3943812769	1.000
JMC77IH	OdSH0Y9	2095983865	1.000
aJE3D33	hXFmow9	4089971597	1.000
fg5Ye1f	NjuQNoy	3576800049	1.000
UefkdWp	LOxesAd	2592091410	1.000
7B5s11Z	gWq0eZN	2531465674	1.000
RCzs51c	mapQxno	4265350976	1.000
4Fpc3pm	UV3Gv2j	3743760429	1.000
34kmakK	txH7Y9s	319761050	1.000
wib6mPP	6xt6far	2810103869	1.000
jHienJj	eCD1Dpd	233505912	1.000
wOXP8jj	OHqCJ8f	1901940044	1.000
YHIFmQB	UCUNhxN	1722435454	1.000
X6UxYji	peVDQNB	3019379211	1.000
7Fksvw7	Z0qR6Kr	4166329286	1.000
P3aJHgl	MkDHUvf	435632006	1.000
VCG4wij	rAuGCB3	3417642718	1.000
lpKumV7	YoiP07s	699722281	1.000
5lhkWgr	ZKcE5nd	571371490	1.000
h7Nm7re	vVXyHfY	3606308742	1.000
SRbiz7A	HgrgNsV	466920882	1.000
qgmZbua	ggQ3VHW	3593507115	1.000
Pg51SHX	4fNhLzx	262344161	1.000
KDuxteQ	HTp70py	3696690469	1.000
8BzS2Ok	BfhTtOW	3943155125	1.000
GGlLhe7	9dPOrQN	1329790179	1.000
ql3Og63	Xj85hP4	3875313573	1.000
MWWOCZP	7hAFGDJ	577895678	1.000
iFiBKyn	JhiaoaY	1960473052	1.000
B60JxCG	8OgU8Xe	1356951419	1.000
wIEChME	55GcR0X	2857207172	1.000
HIZLKiw	Rae2TxX	3718269159	1.000
pex3JGE	oiQnhf7	2592354722	1.000
frqN9xU	Env9yOL	1677842006	1.000
jO5psON	Nlv3nEL	2654606121	1.000
iGLCNXA	gTCs1Vl	2869573494	1.000
zfr6nuv	QlA88ai	4283426930	1.000
ID2ZJ4w	fzBz5PQ	714801150	1.000
HD0i7WV	nqkIiW4	1751447556	1.000
2Sj2Bju	rCKv3Rq	2078987777	1.000
ggEnf39	igQjhNG	1015763290	1.000
mqZ2w9o	5o1BCFK	833116169	1.000
KQMu85w	yOFtbYK	3664045497	1.000
fxX6sAk	tPELwHf	2238273038	1.000
1A8sjBy	NG8xrYD	1455367867	1.000
BD75XlS	GyOw9Bs	1934609888	1.000
j8dmSC7	Wr7Mc9k	1195949271	1.000
RazuHTf	ldaqeML	1910992054	1.000
3Bt7WCD	88LXuh0	4276215450	1.000
DQ34l1X	tdScYAa	954839228	1.000
EKiTg84	7HROdGg	2977538291	1.000
jIt4rkm	cIfiJnB	3617498307	1.000
WLNV3zq	c3h1KvH	3508510717	1.000
dyuydwu	CIpQhf9	2853414076	1.000
E9i5dPR	DklClg6	1940229832	1.000
NapzQjN	aJecYy4	1636270239	1.000
RBhCUoF	lvJXSBn	2287321188	1.000
xb5xGh8	KCKPmoR	2266157149	1.000
GM5Naww	LZx3Ie0	1477490002	1.000
QVzIPFC	8oEdnBH	372945439	1.000
YodEJ2B	vr82Hf9	3787933382	1.000
kw7VXKa	TF6xtRu	2413870795	1.000
ktei3Yb	M5nkgzM	2930150474	1.000
ZT8oCg6	o72H9JD	1153902350	1.000
CMofiBt	X51awLj	1720371183	1.000
vnaxDZV	Fa54038	2809576986	1.000
96ABO47	UuZaSSd	858264886	1.000
BD2XjaR	suXrIRO	423889739	1.000
xPJyQ3g	bAdBfbC	974964015	1.000
nVsyoJY	Qek0gSp	1711992168	1.000
iPUajd3	zy7TMqr	1323268295	1.000
Ouvplf7	mXhFfuJ	814000905	1.000
Y9lnZY6	DupqYoc	2917687775	1.000
0YqNMbs	UySV3ww	1396051449	1.000
UwOY5mE	GxLVFCO	3230856788	1.000
1xBN4b1	LeesUBV	768476318	1.000
CqfACYQ	pSuntuM	2151449013	1.000
FbzZwPy	HiKbbKl	3195877982	1.000
7K7DD6w	qFKBtnw	4172454130	1.000
0wsVCm9	o7r4fWE	3836277843	1.000
WSbFhUF	uHY0RTt	2888086492	1.000
7Fr3olW	SQKB32E	412830994	1.000
j4c3mTO	WZGoOrD	3873847981	1.000
g52meSH	3b1PL0p	1248495002	1.000
N2lZTxb	E4O7bK7	30647100	1.000
kIUFG10	g4hggai	567282591	1.000
NKx1zof	WUwIyeP	2119626024	1.000
Imktb5A	NIAgza4	3649158735	1.000
PGh2WnW	pXrQD8G	610985378	1.000
xbqAedK	F9CUZVG	1355624978	1.000
OywzuzN	fyq9VAO	2256507349	1.000
Oj2zxgv	4uigDvW	2184868354	1.000
pvxGZ8h	XXiHS2Q	541537280	1.000
idKjriD	C4ZnYp8	778636178	1.000
VlWiJev	MCiUffV	3817146804	1.000
gqJER8q	r6icnY6	3377545887	1.000
XpSdKbD	zYxdxGn	2083112537	1.000
LMiMHmO	VBenFc2	1057009393	1.000
wU8rGNo	9MWi1Xn	1760027439	1.000
3Conqhb	GkrT0Ex	300927993	1.000
vPJ2AuZ	5SGcLK2	3570715148	1.000
jjkXkki	2IUKMYP	2234990648	1.000
4ewdBch	LWLcHDS	2330510451	1.000
qOHpfnc	id1vKHf	4061196395	1.000
zBFKXzQ	4x0nLdO	1704406557	1.000
203NWd1	eTh6wxi	1584466943	1.000
QGcv5oO	dF4sRIG	948915716	1.000
EYXnL01	JRvJuGn	2663824965	1.000
Lvh9bnR	RtGlEET	2507854712	1.000
7bxDlsI	QiinyJl	767246783	1.000
abJjhxp	EJgck9t	3900753105	1.000
qEWlI5s	zshV9Bf	2062194606	1.000
J58yovo	RWd83eY	1261569215	1.000
mofrGGx	yN3oJP5	4230136067	1.000
9OxNt27	CrUFAQZ	438878136	1.000
RKFNTZe	eYuVHwO	710134592	1.000
6kIRu4z	S3dH0Eu	354786514	1.000
1S2wFBo	WaDhVQu	234381154	1.000
ituNv1K	07uwInX	2204778715	1.000
wk4EuKE	LAAbM5m	1736840403	1.000
Yx6nboQ	2JjWcLY	1735959004	1.000
5fo4oTa	0LIhICF	2190862270	1.000
n8PdPmQ	HHSrzYk	3393286563	1.000
fSAWSSb	IgLtywv	876901076	1.000
lTxoKm0	5HFE1Or	705014262	1.000
eD1I4PV	u5Ej6X1	1962359094	1.000
eB7s6hR	ejhtN3g	2408710547	1.000
K5HShaw	Gc6Hi5o	3675565777	1.000
c3YiTpS	pphB05v	1325549336	1.000
MOQdneV	3u9p5Jp	3284501696	1.000
QBmMTPe	FdosACl	637855266	1.000
5d3m5Zh	WuXezef	2624492777	1.000
QiziS9V	3IeLADA	1981601471	1.000
QSwtUlc	ONSVSj8	813039582	1.000
Oux5lAu	XRzvk8O	687040518	1.000
lso2f0Q	qbaBZ56	3875076465	1.000
r7BhlU1	iNiTxSm	2020497625	1.000
Jvry1ZO	M4RpVlu	357368237	1.000
UTmwBLf	n4lkyxf	3333439067	1.000
N2ssSzL	MOpEIII	3210335111	1.000
BKLo9MX	dkVFxyK	2222129890	1.000
3XhhWlg	RPIgSL1	202124032	1.000
XZCYCck	hFlpGNy	1114173906	1.000
rq1TmDs	rM98MxZ	1458536774	1.000
0MpRZUr	WmgGzp7	1118059056	1.000
cs83fie	WkV6MhP	1200723861	1.000
93XrB7Y	fILDIZZ	1870755286	1.000
KDO01bE	q3YKJFY	1426504828	1.000
HWfFrjQ	J6cncFG	2854040570	1.000
V4MWfNM	aHn1VQE	453063354	1.000
thYLy47	OLEwsaK	3662534364	1.000
fzQbTOl	GSZ4B0m	3902722850	1.000
pQ7G6fV	kRs1Ce5	3053644071	1.000
ynbwbf0	i7iUBOw	1247907005	1.000
wjH7QuL	CLKXlJH	2791929307	1.000
D2OUrMr	bFOSlR0	4293265565	1.000
C5yYoDE	QENfZ31	1041920069	1.000
SNVEbyo	zvhhp0u	3496094399	1.000
3wdf3e1	3PL3mV7	658757504	1.000
Lsj5zZC	LRxNRkK	2815941537	1.000
q5FvkXL	hHWt8Gw	3440268351	1.000
VsIwHdq	FigqDfS	2986531577	1.000
CgUuyh0	9LKh1qW	1980289011	1.000
O1dveKI	JhmZu8m	4280411723	1.000
H1g8dZK	FhLQYHP	86388313	1.000
Pc7tAmT	yhVIlzT	3627095737	1.000
7BSiZ90	Qm8kGlX	3781843013	1.000
YtsNUKp	G2wNwHJ	4111629972	1.000
KadP5f1	LZsRig3	2380644538	1.000
DEgOwRK	qzpxa6D	2651624946	1.000
r5VNxhX	HpoRZCg	1551639996	1.000
LamCIjU	0B2iHPD	2839986708	1.000
aRzgI76	ClKadZN	3088848230	1.000
gYHUwXR	BbcJdB0	2423691923	1.000
5wzYjdf	3ZKOr9Z	4215980796	1.000
1HCVCTy	ZrFFAWc	1819794499	1.000
NOwlHcK	vVV40aF	3196328985	1.000
lT1DZKd	Q5wXTZq	2873774109	1.000
ciM9Y16	xvJHhWR	2548087560	1.000
Zd1bj3S	AzOTFSD	1288854786	1.000
Rfrijqi	Gpspl03	66064127	1.000
Pztqc2G	FZ3SoT5	2495828289	1.000
oc3H3OM	Bw5GzCI	3063935159	1.000
wJLL0Ym	2VEm63N	421885136	1.000
fBr22m7	APv0I5q	4083408778	1.000
Qha6aSt	h1LxECx	1464426795	1.000
RPF38Tb	1jfRC9K	2851029083	1.000
ePYOy82	zsFkcPn	46018997	1.000
2h6I6Zb	TgmHSh5	3180321931	1.000
RIoB4Gl	tjoj4qO	4150674503	1.000
FSmLkq9	UG9NEYT	3577577049	1.000
9mNyhv6	MaBWVsX	2579198782	1.000
Ia7BSel	YLJgX9Y	2948272244	1.000
