Marker	Offset
mh01USC-1pA	76
mh01USC-1pA	105
mh01USC-1pA	120
mh01USC-1pA	124
mh01USC-1pB	90
mh01USC-1pB	105
mh01USC-1pB	109
mh01USC-1pC	59
mh01USC-1pC	116
mh01USC-1pC	140
mh01USC-1pD	83
mh01USC-1pD	105
mh01USC-1pD	117
mh01USC-1qA	90
mh01USC-1qA	109
mh01USC-1qB	65
mh01USC-1qB	87
mh01USC-1qB	91
mh01USC-1qB	135
mh01USC-1qC	80
mh01USC-1qC	113
mh01USC-1qC	119
mh01USC-1qD	92
mh01USC-1qD	103
mh01USC-1qD	108
mh02USC-2pA	61
mh02USC-2pA	105
mh02USC-2pA	112
mh02USC-2pA	139
mh02USC-2pB	66
mh02USC-2pB	84
mh02USC-2pB	134
mh02USC-2pC	60
mh02USC-2pC	72
mh02USC-2pC	138
mh02USC-2pC	139
mh02USC-2qA	59
mh02USC-2qA	69
mh02USC-2qA	131
mh02USC-2qA	140
mh02USC-2qB	83
mh02USC-2qB	96
mh02USC-2qB	116
mh02USC-2qC	72
mh02USC-2qC	103
mh02USC-2qC	127
mh02USC-2qD	90
mh02USC-2qD	98
mh02USC-2qD	110
mh02USC-2qE	88
mh02USC-2qE	107
mh02USC-2qE	111
mh03USC-3pA	66
mh03USC-3pA	104
mh03USC-3pA	109
mh03USC-3pA	134
mh03USC-3pB	67
mh03USC-3pB	84
mh03USC-3pB	120
mh03USC-3pB	125
mh03USC-3pB	133
mh03USC-3pC	54
mh03USC-3pC	93
mh03USC-3pC	100
mh03USC-3pC	146
mh03USC-3qA	62
mh03USC-3qA	75
mh03USC-3qA	101
mh03USC-3qA	138
mh03USC-3qB	80
mh03USC-3qB	112
mh03USC-3qB	119
mh03USC-3qC	52
mh03USC-3qC	61
mh03USC-3qC	71
mh03USC-3qC	111
mh03USC-3qC	148
mh04USC-4pA	62
mh04USC-4pA	97
mh04USC-4pA	130
mh04USC-4pA	138
mh04USC-4pB	79
mh04USC-4pB	109
mh04USC-4pB	120
mh04USC-4qA	86
mh04USC-4qA	88
mh04USC-4qA	113
mh04USC-4qB	87
mh04USC-4qB	93
mh04USC-4qB	113
