Actual,Population,RandMatchProb
BEB,BEB,1.3317758385654478e-66
BEB,ITU,5.628901395539802e-68
BEB,PJL,1.7764750378095507e-68
BEB,STU,9.887300754248403e-69
BEB,GIH,1.462248692998379e-70
BEB,PUR,1.7179120456603164e-74
BEB,MXL,3.865293151029396e-75
BEB,CLM,2.1246624533609857e-75
BEB,TSI,1.199238694969887e-75
BEB,CEU,1.6412296165547067e-76
BEB,FIN,1.5658488140243564e-76
BEB,GBR,1.2712553332386956e-76
BEB,IBS,1.2085926926386642e-76
BEB,KHV,4.42353472159682e-79
BEB,CHB,9.077406078990945e-82
BEB,CHS,6.234658748113713e-82
BEB,JPT,1.6901423330370792e-82
BEB,CDX,2.1094003295997567e-83
BEB,PEL,1.5238115053805984e-83
BEB,ASW,3.251150530601626e-86
BEB,ACB,3.542194553862445e-91
BEB,LWK,3.6158055334897515e-97
BEB,YRI,1.1955820063853567e-100
BEB,ESN,8.167763046151117e-101
BEB,GWD,3.751606426887477e-103
BEB,MSL,8.59507651094985e-105
