ID	MaternalHaploPop	PaternalHaploPop	HaploSeed
JC83UA9	CEU	ASW	3926634780
RJ0Lbxp	MXL	MXL	313284217
LFuYiqr	CEU	CEU	2092523606
QaViQku	CEU	CEU	752436973
OT9wlYQ	ASW	ASW	3925791605
KjiMDdW	PUR	CEU	171650252
YxSbKEG	MXL	CEU	1537668227
LQZlYBI	ASW	ASW	4093541226
Sw1DGrc	CEU	CEU	2265196057
63ROOpo	CEU	CEU	1919965689
DqMRvFn	ASW	ASW	3750196693
Qz2yVGP	CEU	CEU	145237542
Jm4HIZh	ASW	CEU	3358356996
XXRA5ry	CEU	CEU	1985632311
8EeUl2E	CEU	CEU	3473235086
YtuLUaw	MXL	MXL	1998260245
M3QoD46	CEU	CEU	2750577782
8DPVXTG	MXL	MXL	109764949
wlTAdQj	CEU	CEU	461831792
D3Q10zM	CEU	CEU	621732532
dXG837V	CEU	CEU	4021545443
1bBWlHt	MXL	ASW	916279387
dxZxoYh	ESN	ESN	1735667424
OdSH0Y9	CHS	CHS	496537631
hXFmow9	ASW	ASW	2782980919
NjuQNoy	CEU	CEU	869035836
LOxesAd	ASW	ASW	651183148
gWq0eZN	CEU	CEU	233125105
mapQxno	ASW	ASW	2253310864
UV3Gv2j	CEU	CEU	1310717268
txH7Y9s	ACB	ACB	3173833625
6xt6far	CEU	CEU	2418565860
eCD1Dpd	CEU	CEU	2954332409
OHqCJ8f	CEU	CEU	163989100
UCUNhxN	MXL	MXL	1493722833
peVDQNB	ASW	ASW	3373091449
Z0qR6Kr	CEU	CEU	4126975836
MkDHUvf	CEU	CEU	2683323588
rAuGCB3	CEU	CEU	22145305
YoiP07s	CEU	CEU	906992963
ZKcE5nd	CEU	CEU	369385221
vVXyHfY	CEU	CEU	3799082791
HgrgNsV	CEU	CEU	400638593
ggQ3VHW	CEU	CEU	117431042
4fNhLzx	CEU	CEU	930322602
HTp70py	ASW	ASW	2068657398
BfhTtOW	JPT	JPT	652892407
9dPOrQN	CEU	CEU	1727853696
Xj85hP4	CEU	CEU	2625814279
7hAFGDJ	ASW	ASW	1060490879
JhiaoaY	ASW	ASW	3527768940
8OgU8Xe	ASW	ASW	1752175391
55GcR0X	PUR	PUR	1837900527
Rae2TxX	CEU	CEU	962669099
oiQnhf7	ASW	CEU	3246440399
Env9yOL	CEU	CEU	2384877722
Nlv3nEL	ASW	ASW	4207844285
gTCs1Vl	ASW	ASW	909092552
QlA88ai	ASW	ASW	4026064859
fzBz5PQ	CEU	CEU	2578396749
nqkIiW4	CEU	CEU	1446065839
rCKv3Rq	CEU	CEU	1860476131
igQjhNG	CEU	CEU	198311304
5o1BCFK	CEU	CEU	107770159
yOFtbYK	CEU	CEU	2689951668
tPELwHf	CEU	CEU	496812431
NG8xrYD	CEU	CEU	3596581419
GyOw9Bs	CEU	CEU	2009025430
Wr7Mc9k	CEU	CEU	4017462841
ldaqeML	CEU	CEU	2813763733
88LXuh0	ESN	ESN	3008470984
tdScYAa	CEU	CEU	1363943577
7HROdGg	CEU	CEU	2331791964
cIfiJnB	CEU	CEU	3982115210
c3h1KvH	ASW	ASW	2504257690
CIpQhf9	CEU	CEU	2394707824
DklClg6	ASW	ASW	1488665982
aJecYy4	CEU	CEU	36358161
lvJXSBn	CEU	CEU	1014709714
KCKPmoR	CEU	CEU	2563295447
LZx3Ie0	CEU	CEU	3529461282
8oEdnBH	ACB	ACB	1692423502
vr82Hf9	PUR	PUR	1618849068
TF6xtRu	CHB	CHB	3332322024
M5nkgzM	CEU	CHS	939949115
o72H9JD	CEU	CEU	1651980578
X51awLj	ASW	ASW	1140742931
Fa54038	ASW	ASW	237080926
UuZaSSd	ASW	ASW	2403194252
suXrIRO	CEU	CEU	2493102408
bAdBfbC	ASW	ASW	1917427133
Qek0gSp	CEU	CEU	260054853
zy7TMqr	CEU	CEU	2867810280
mXhFfuJ	CEU	CEU	1174231470
DupqYoc	CEU	CEU	1719996849
UySV3ww	ESN	MXL	4127889095
GxLVFCO	CEU	CEU	2532761096
LeesUBV	MXL	MXL	2431222005
pSuntuM	CEU	ACB	4249570432
HiKbbKl	ASW	ASW	2996099521
qFKBtnw	CEU	CEU	3552479949
o7r4fWE	CEU	CEU	2240173740
uHY0RTt	ASW	ASW	1652484378
SQKB32E	ESN	ESN	150294661
WZGoOrD	CEU	CEU	2316940600
3b1PL0p	CEU	CEU	1719128901
E4O7bK7	CEU	CEU	602347199
g4hggai	MXL	MXL	405729368
WUwIyeP	ASW	ASW	1744324298
NIAgza4	CEU	CEU	616418193
pXrQD8G	CEU	CEU	460010700
F9CUZVG	MXL	MXL	3382276733
fyq9VAO	CEU	CEU	1901592542
4uigDvW	CEU	CEU	2670041650
XXiHS2Q	CEU	CEU	776529142
C4ZnYp8	CEU	CEU	733812023
MCiUffV	CEU	CEU	2397937080
r6icnY6	CEU	MXL	2952990455
zYxdxGn	CEU	CEU	766131843
VBenFc2	CEU	CEU	4234917736
9MWi1Xn	CEU	CEU	1274494627
GkrT0Ex	CEU	CEU	2765920857
5SGcLK2	CEU	CEU	3023550000
2IUKMYP	ASW	MXL	380210571
LWLcHDS	CEU	ASW	227201944
id1vKHf	CEU	ASW	622882793
4x0nLdO	ASW	ASW	784466742
eTh6wxi	CEU	CEU	3167232906
dF4sRIG	ASW	ASW	370630752
JRvJuGn	PUR	CEU	3367759764
RtGlEET	CEU	CEU	477873687
QiinyJl	ASW	ASW	4088393424
EJgck9t	CEU	CEU	905536694
zshV9Bf	CEU	CEU	140230914
RWd83eY	ASW	ASW	3150850389
yN3oJP5	MXL	MXL	2674267385
CrUFAQZ	ASW	ASW	3410782842
eYuVHwO	CEU	CEU	3589191922
S3dH0Eu	CEU	CEU	2542003645
WaDhVQu	CEU	CEU	382760293
07uwInX	CEU	CEU	2659876608
LAAbM5m	CEU	ASW	1247696753
2JjWcLY	ACB	ACB	2451523119
0LIhICF	CEU	CEU	171617458
HHSrzYk	ASW	ASW	2854838535
IgLtywv	CEU	CEU	2827240619
5HFE1Or	CEU	CEU	116176605
u5Ej6X1	ASW	ASW	3275906229
ejhtN3g	ASW	ASW	1245175921
Gc6Hi5o	CEU	CEU	2865441445
pphB05v	ASW	ASW	702736974
3u9p5Jp	CEU	ASW	513781175
FdosACl	ASW	ASW	3295312195
WuXezef	ASW	ASW	2919560481
3IeLADA	CEU	ASW	293574081
ONSVSj8	CEU	CEU	3823491466
XRzvk8O	CEU	CEU	4240676358
qbaBZ56	CEU	CEU	539574393
iNiTxSm	ASW	ASW	596415382
M4RpVlu	ASW	ASW	2629610209
n4lkyxf	CEU	GBR	720199317
MOpEIII	CEU	CEU	3365002085
dkVFxyK	CEU	CEU	2023975773
RPIgSL1	ASW	ASW	3217828673
hFlpGNy	CEU	CEU	2206725668
rM98MxZ	ASW	ASW	2581279537
WmgGzp7	CEU	CEU	1855466805
WkV6MhP	PUR	PUR	3836109424
fILDIZZ	ESN	ESN	366132760
q3YKJFY	CEU	CEU	2178438900
J6cncFG	ASW	PUR	3396836472
aHn1VQE	CEU	CEU	1122685278
OLEwsaK	ASW	ASW	1980343616
GSZ4B0m	MXL	MXL	665394963
kRs1Ce5	CEU	CEU	274384930
i7iUBOw	MXL	MXL	3815375982
CLKXlJH	ASW	CEU	940834916
bFOSlR0	CEU	CEU	2585384484
QENfZ31	CEU	CEU	4188500999
zvhhp0u	CEU	CEU	3300817145
3PL3mV7	CEU	CEU	2938729764
LRxNRkK	CEU	CEU	4252203543
hHWt8Gw	ASW	ASW	1463032906
FigqDfS	CEU	CEU	3435699051
9LKh1qW	CEU	CEU	876773909
JhmZu8m	ASW	ASW	1211670151
FhLQYHP	ASW	ASW	2536335014
yhVIlzT	CEU	CEU	1741591186
Qm8kGlX	CEU	CEU	2957818528
G2wNwHJ	CEU	CEU	930959397
LZsRig3	CEU	ASW	2691665098
qzpxa6D	CEU	CEU	786437057
HpoRZCg	MXL	MXL	138592668
0B2iHPD	CEU	JPT	3723858689
ClKadZN	CEU	CEU	4266471461
BbcJdB0	ASW	ASW	256804183
3ZKOr9Z	MXL	MXL	1033753116
ZrFFAWc	CEU	CEU	2836746540
vVV40aF	CEU	CEU	2474756170
Q5wXTZq	CEU	CEU	1704800404
xvJHhWR	ASW	ASW	2329907479
AzOTFSD	CEU	CEU	3740249904
Gpspl03	MXL	ASW	2525193454
FZ3SoT5	MXL	MXL	2747144643
Bw5GzCI	CEU	CEU	1032324790
2VEm63N	CEU	CEU	4100034120
APv0I5q	ASW	ASW	3392274477
h1LxECx	PUR	PUR	3220619932
1jfRC9K	CEU	CEU	1429737488
zsFkcPn	CHB	CHB	2075810523
TgmHSh5	CEU	ASW	1365773801
tjoj4qO	ASW	ASW	2438362029
UG9NEYT	CEU	CEU	69081232
MaBWVsX	ASW	ASW	906561189
YLJgX9Y	CEU	CEU	964031314
IJr2daQ	ASW	ASW	1836886330
7jsfu2j	ASW	ASW	648547535
cK591gF	CEU	CEU	2584069402
ycf6pVl	CEU	CEU	4248172627
tDrotyg	ASW	ASW	2940035575
fSXGOmJ	CEU	CEU	1145777154
idO8h7M	CEU	CEU	3806864426
vrhp9Hv	CEU	CEU	247035753
ADaWUph	ASW	ASW	3617107828
CdO9FC4	ASW	ASW	315845072
q8F4eOU	CEU	CEU	2538843568
H5689Gp	CEU	CEU	1530541685
809QD7r	CEU	CEU	2381274325
K4jPgiR	CEU	CEU	2902955461
AdL3WDV	CEU	ASW	1258190480
dHmp8qe	CEU	CEU	801537815
4bbkCGv	CEU	CEU	4036512362
mdBh4Ho	CEU	CEU	3776809716
FibtG6N	CEU	CEU	2976706494
bNr6xk5	CEU	CEU	2144538139
zD384zq	CEU	CEU	3837365347
NC6W2w4	CEU	ASW	55889139
3uPRaE4	CEU	CEU	2216472980
ZuqQNbx	CEU	CEU	3629745028
MH5v7AJ	CEU	CEU	179298665
r5t7qs3	CEU	CEU	3828004383
v2TWsuK	ASW	CEU	1438066653
0hIRiZH	GIH	GIH	3558319306
nPeCN2x	CEU	CEU	721116124
8gXF9kU	CEU	CEU	3302184943
34ue3dR	GBR	GBR	1737089531
3K0das0	CEU	ASW	66177961
GE6xSnS	ASW	ASW	825906685
pKEEfaH	ASW	ASW	4249750010
uSwiwK5	CEU	CEU	2295543267
LQo6YxJ	CEU	CEU	1808259974
1tspoGh	MXL	MXL	1092563751
SL084do	CEU	CEU	2958668532
T3LnL3o	ASW	ASW	3079701299
RRz5iaQ	GBR	GBR	3141808959
Lj5aqlj	CEU	ASW	2762703751
tEsMmyY	ASW	ASW	3293769398
p1SfgH0	CEU	CEU	3439852355
MlKrGH0	ASW	ASW	3938121719
Nie6HHV	CEU	CEU	2590160373
n42bIrj	CEU	CEU	1938388458
USzcR1G	CEU	CEU	839589991
1TMoPrH	MXL	MXL	1296477829
mHfCdip	CEU	CEU	2736523391
bbdrvZA	CEU	CEU	1509720261
vabwR7c	CEU	CEU	3870731159
2TDFbR2	ASW	ASW	1103214633
bENZ6xw	ASW	ASW	305775626
kmbV6Bc	CEU	CEU	2132833268
JDbdRCm	CEU	CEU	3291408520
87GqMvG	CEU	CEU	875377020
YlNAsFz	CEU	CEU	1419038145
296NBMK	MXL	MXL	1550658659
BhYJqXN	ASW	CEU	4002081423
mqjo7zv	ASW	ASW	3881447886
B90zVMf	GBR	CEU	1692655232
wRRTzz1	CHS	CHS	4271966149
TT0Mlb2	CHS	CHS	1814613428
qjqv2Bh	CEU	CEU	894876038
zSewmvW	ASW	ASW	2640604054
XML9bmb	CEU	CEU	2609533235
SsjgbjW	ASW	CEU	972483061
NoWF8YF	MXL	MXL	1137186610
WdQfuqm	CEU	CEU	1999220793
4F8adFS	CEU	CEU	8502045
gkuhckg	CEU	CEU	607716702
r3WQI7x	CEU	CEU	3118561307
7Z1Ocws	ASW	ASW	2231431386
ygQqM09	CEU	CEU	2580903354
5x05pLS	CEU	CEU	194742875
YBBVVfD	ASW	CEU	4202013838
uBccj2w	CEU	MXL	873073911
cViLakm	ASW	ASW	1972623129
X4GKORw	CEU	CEU	2755764292
YP5cvWq	ASW	ASW	2793824956
YmxIy3Q	CEU	CEU	3809486171
JiFG2l8	CEU	CEU	3191511072
BdzkiPx	CEU	CEU	856705746
MEhla05	CEU	CEU	877222033
yyIWiGM	CEU	CEU	1976083512
xhXUPJG	CEU	CEU	413729854
AA6yfkm	ASW	ASW	4128160905
rBHWwku	CEU	CEU	1083720883
skFgfoT	MXL	CEU	3238489323
nLWWXpx	ASW	ASW	1269932826
IflV2hV	CEU	CEU	3218030455
Z4T323h	ASW	ASW	4087132698
Spet7B7	CEU	ASW	3475015733
wi4kl8e	CEU	CEU	3303564337
C05uCKC	CHS	CHS	44951213
tD6CH3T	CEU	CEU	2891034471
t2FiCty	CEU	CEU	3916629333
oTmwepL	GBR	GBR	2816216885
i9tw7A8	ASW	ASW	4141788588
jIQUfws	CEU	CEU	2435761416
5OeG5go	ASW	ASW	1579073686
MmwsIeS	ASW	CEU	3095084965
OU2lRxP	ASW	ASW	3168629465
SxZlVIe	CHB	CHB	1842966920
OteWYcy	CEU	CEU	4073406090
i6eSDDU	CEU	MXL	4263537676
H7av6qp	CEU	CEU	3438930679
CwNvMc6	ASW	ASW	3474838704
V9Bk5ha	CEU	CEU	2869169795
RaMcAKR	CEU	CEU	2633792977
hrbqZvT	CEU	CEU	1504063070
IVVGvFZ	CEU	CEU	2695182779
XIMDqbn	CEU	CEU	2944875776
hQtj2oN	CEU	CEU	4107117427
xERMswq	CEU	ASW	264165712
y3h5GpQ	CEU	CEU	1747087634
dpNOx9H	CEU	CEU	3308664243
0ebLJkt	CEU	CEU	1687394338
emhyMoj	GIH	GIH	652397525
TaJ8jxG	CEU	CEU	1750261443
fZ6KJYE	CEU	CEU	3737742970
n0YhXIG	CEU	CEU	64413466
uhvkxUc	CEU	CEU	3734788605
aIxcO2X	CEU	CEU	1541431034
2fkdsIP	MXL	MXL	127414029
ZjisWmS	CEU	CEU	2575424672
5weZvbF	GBR	GBR	1903847116
YlH7SOz	CEU	GIH	579460743
ilBy7tb	CEU	CEU	3555408913
CluQJpJ	GBR	GBR	4184611507
qJ1s9Md	CEU	CEU	950456156
1i9mTyq	ASW	ASW	4249717609
OItjvQ6	CEU	ASW	3804519784
Nsw3Oaf	CEU	CEU	3586008212
M8b2Bc6	MXL	MXL	1676333234
ZQ0x1Y1	CEU	CEU	3292116791
FCnNs7h	CEU	CEU	3136323089
6L14jgx	CEU	CEU	2666605580
ASi30Rl	CEU	CEU	629514408
xFpNjbG	CEU	CEU	269932831
rJtI8hZ	CEU	CEU	4057244253
z1QNgUn	ASW	ASW	926232851
GdTqvkB	PUR	PUR	3744531157
BBDqsNo	CEU	CEU	1897637411
THPoQnf	CEU	CEU	2134969692
wyVrAF4	CEU	CEU	3930133190
St0w9uv	CEU	CEU	2111238583
pDihm6U	ASW	ASW	994808772
7Kp2N2E	CHS	CHS	2236219613
qhmgw10	GBR	GBR	2364054664
walLe8t	ASW	ASW	2678872231
ola1ync	CEU	CEU	108667617
6j0RYHz	CEU	CEU	3808749440
cwUjOFP	CEU	CEU	725279682
oXTPZds	ASW	ASW	136961505
nAE9oGR	ASW	ASW	3581792491
OIVNZbX	CEU	CEU	1843868765
4Yw7V0Q	CEU	CEU	3034132451
ZsfjJ6P	GBR	GBR	2260731476
FbdWcAW	GIH	GIH	3250693029
yXgB9VO	CEU	CEU	3595208117
rTf82hK	ASW	ASW	2623608208
GkFmavp	CEU	CEU	1947651527
rV41Gdv	ASW	ASW	2295962383
zNK67zQ	CEU	CEU	4138758519
yQVTq0l	CEU	CEU	2101652382
qZCCSyx	CEU	CEU	3841323018
azlUSQy	CEU	CEU	3094663096
rxaAi6n	ASW	ASW	2543354308
TsStoPY	CEU	CEU	340539566
x66PEbl	ASW	ASW	2842402476
mAKfIh3	CHB	CHB	3221579303
rd8v6yv	ASW	ASW	3794887442
Hd6LuaN	CEU	CEU	3496373567
rrxkr4c	MXL	MXL	2922855980
Vv1DWwD	CEU	CEU	3058673311
R0lUgtQ	CEU	CEU	419481022
wacYHhZ	CEU	CEU	2477328114
oZMUaYR	PUR	PUR	3256170528
EdCrl3Z	ASW	ASW	323507733
vNKJevx	ASW	ASW	2571537773
Wdgvz6K	ASW	ASW	14665457
EGkIb7x	CEU	CEU	2486186145
rGfACaY	MXL	MXL	1508685065
p6wOUtS	GBR	GBR	1780739570
uNUTAdS	CEU	CEU	3324820745
d7d7tJ1	GBR	ASW	1961425661
gytrp4o	CEU	CEU	2583619367
uCdyxUP	CEU	CEU	2588883466
dYXNuYJ	CEU	CEU	2995390633
HoLevPN	GIH	GIH	3399953968
wYBFrdb	ASW	ASW	3628830444
sh16zAW	ACB	ACB	2622885197
oxZeiuT	CEU	CEU	1297859959
DQwya7a	CEU	CEU	310173145
h9c6SiG	CEU	CEU	1376913037
MSi8TUQ	CEU	CEU	4247394183
euiT39J	CEU	PUR	3734263630
wQGCRSO	CEU	CEU	3717466198
D5zla9E	CEU	CEU	2944774141
3wKdrbW	ASW	ASW	80964155
KAlLMZz	ASW	ASW	2926397384
5eZ11gX	CEU	CEU	1378108640
mqRKM3S	ASW	ASW	787974255
uoWvofR	CEU	CEU	3737843455
Fmet5Jp	CEU	CEU	1564157937
PBotOTU	CEU	CEU	534874677
qFP7ufS	ASW	ASW	545729648
nX5lhtO	CEU	CEU	1615018142
gxKBbiN	CEU	CEU	3905422102
WFl7Kdf	CEU	MXL	694342746
CzpdlNE	CEU	GIH	903973498
ncZJqBU	CEU	CEU	3176479034
vyeZ9Rf	CEU	CEU	2511534669
4FSE5OH	ASW	ASW	3956814584
3ZZDV54	CEU	CEU	2594239230
JkpWF3X	CEU	CEU	1351509877
Db3Ruac	CEU	CEU	23459622
7bJks55	CEU	CEU	4221435709
kFtHSvf	ESN	ESN	3510787426
zm8vEVk	ACB	ACB	3408896306
DEfrEIk	CEU	CEU	1736327005
3UPFHbs	CEU	CEU	269352484
miNM1ZV	ASW	ASW	3084900700
G5otxv8	CEU	CEU	3044141658
hj50rPS	CEU	CEU	3636177282
xDdCaup	CEU	CEU	1569430252
asr3wk9	CEU	CEU	2504918629
rX7VVeI	ACB	ACB	121720573
VDIIMxm	CEU	CEU	1559415823
NUsZpc7	CEU	CEU	3880241142
Vc1lYQv	ASW	ASW	3815689806
1hz4OWc	ASW	ASW	443148544
ODuvibJ	CEU	CEU	2274551504
QsGxmhG	CHS	CHS	3770709926
3hzPArq	CEU	CEU	927679265
PG3FhYJ	CEU	CEU	2597837282
AtRzZHW	ASW	ASW	747654945
IeQIus4	CEU	ASW	1252563676
i0iWNav	ASW	ASW	1952003403
NViu41C	MXL	MXL	99574677
u2Rbq1Q	CEU	CEU	1139758532
agPoNTR	CEU	CEU	3099033500
QkXug32	CEU	CEU	2136733571
8BoMFV1	CEU	CEU	4178553607
Kh6b1W1	GBR	GBR	553335453
TUEFJ3q	CEU	ASW	1306412721
LYSttKh	MXL	MXL	2893195706
AzLjNUs	CEU	CEU	1756963421
lJmejv4	ASW	ASW	2942325581
4RpzTl0	ASW	ASW	3753763323
lfuimvt	ASW	ASW	2653339706
8QGzGwh	CEU	CEU	74918445
BN9zUwG	CEU	CEU	633695679
gD5EPka	CEU	CEU	150804157
32mR5nc	CEU	CEU	452392677
JbFt1W3	ASW	ASW	673384410
fZvCoLU	MXL	MXL	3314903349
VbNe8l2	CEU	CEU	888525394
SMRqlhH	CEU	CEU	1246246072
FctK3U1	CEU	CEU	1605513522
UywwfzL	ASW	ASW	3704721251
fzp23aD	CEU	CEU	1945990040
dMNASAL	CEU	ASW	1318767123
G5bYvD1	ASW	ASW	4161837528
Y4fAKr1	CEU	ASW	808354633
k3161rQ	MXL	MXL	1965181443
8qdms5U	CEU	CEU	1645845501
mliSGMX	ESN	ESN	1949852846
UkXv0DH	CEU	CEU	4132781695
0iCxEo0	CEU	CEU	3074408447
HZ2vjNP	PUR	PUR	2508738079
2Vww0Rd	CEU	CEU	1163362519
JMBZPTU	CEU	CEU	2478617436
joFS9e9	CEU	CEU	587352419
KLbfQbR	CEU	CEU	285737820
sGUUsME	MXL	CEU	2586732678
pJQyBap	ASW	ASW	2666683195
dCFP92w	ASW	ASW	3864854716
lrZKHl3	CHS	CHS	4026400364
kwxaNf0	CEU	CEU	1333312100
RmIaLtm	CEU	ASW	2842840343
jmek3GG	CEU	CEU	1458073288
38Yr3rY	CEU	CEU	1223059879
ZyfK8b0	CEU	CEU	1736573398
27d97b8	CEU	CEU	1569190937
L3ZEdL4	JPT	JPT	3171591261
0AJ0Jyw	CEU	CEU	1409525487
FqY0NcO	ASW	ASW	3806594690
HSTsfX2	CEU	CEU	932632123
btxCX2Q	CEU	CEU	983593366
7i0wIKD	CEU	CEU	1995114379
CzF1Ead	MXL	MXL	560015907
klv8efx	ASW	ASW	2611100447
gXW1ZYJ	CEU	CEU	292169807
S4PG3mn	ASW	ASW	3047643618
lsODgGG	CEU	CEU	1167558461
Q7rNxob	CEU	MXL	1980064681
JiA4580	CEU	CEU	1908031090
jxNrHvj	CEU	CEU	2352012988
wJbnuDA	CEU	CEU	970276492
2BlinJy	CEU	CEU	2109792472
r41yWG9	CEU	CEU	4240548197
pu6TWH4	CEU	CEU	704848167
vOmFZjl	PUR	PUR	194688341
3cXt0i6	CEU	CEU	3426015406
YkYWlLw	CEU	CEU	2353644267
WAi5Cub	CEU	CEU	3305425774
MrEKbK9	ASW	PUR	1671689899
14Kf1cr	CEU	CEU	1315109638
eCKGAKH	CEU	CEU	2219924878
dtMjDqH	CEU	CEU	37970274
vmXEMWR	CEU	CEU	1672800602
O8nLOLM	MXL	MXL	3622403542
ucWPIBV	CEU	CEU	250542276
lXSHn8n	CEU	CEU	3753928926
WC5qOz3	CEU	CEU	3172045921
blAAIuI	ASW	ASW	448207385
bQOZZNM	CEU	CEU	3901544995
x5Zlkj7	PUR	PUR	1414858571
FhFgTHt	CEU	CEU	3923227178
kX9GyUk	MXL	MXL	63669498
g0j9j8b	ASW	ASW	669907189
U0sAgP8	CHB	CEU	2903483438
8eEE0jb	ACB	ACB	3765018100
NBABmTw	ASW	ASW	3211150452
TGyJ49w	ASW	ASW	2387451526
umfDGjh	ASW	ASW	2233261013
8yumamj	CEU	PUR	3595539787
Wt56utT	CHB	CHB	227837466
IlPOzdq	CEU	CEU	219367482
nQJJdnL	CEU	CEU	1321758936
t8B6Jph	CEU	ESN	3663051005
b5xtEOg	CEU	CEU	1505750264
BeVvW2c	CEU	CEU	3841069491
HANXWLZ	CEU	CEU	1157430467
PWhmVSH	CEU	CEU	734994631
TYoW6sM	CEU	CEU	415993154
Vs5cwpb	MXL	MXL	4094212175
7Kek4iO	CEU	CEU	1098834176
npylejQ	CEU	ASW	1040381361
T0vHeMZ	CEU	CEU	1995195074
aRSczTK	ASW	ASW	3237552471
1XDtjj0	PUR	PUR	2613771330
9umUIDd	CEU	CEU	2172624621
3kNw6i0	JPT	JPT	3187044788
w0zMBxO	CEU	CEU	4139109132
goHiZaH	CEU	CEU	419785378
khKkVJ0	GIH	GIH	508754672
8pshkep	CEU	CEU	945863487
e3gGdT0	MXL	MXL	1676506347
8UColRe	CEU	PUR	3297895368
A6Lglb3	CEU	CEU	204504925
78cIx5V	CEU	CEU	3996032029
sKCGkZx	MXL	MXL	3782259694
P52oPpA	CEU	CEU	832377777
0LmVhwf	CEU	ASW	4271820560
ygU3NXI	CHS	CHS	748846878
VAAZkqs	ASW	ASW	3657200338
DYIc7ws	CEU	CEU	2997644512
lnRAklE	CEU	ASW	277834512
BT5oQ4X	CEU	CEU	2187803807
iZteDRL	CEU	CEU	3155315968
qUFgMv5	ASW	ASW	2943513134
swoyAZL	CEU	CEU	2722440396
QnfO98J	CEU	CEU	1875771846
qymWm5X	ASW	ASW	1568622354
RhCXBEj	CEU	CEU	1714229848
1UER2fc	ESN	ESN	89263425
Z2zRIKW	ASW	ASW	1817819089
Cl3Jb4p	CEU	CEU	2062115828
HFggpap	CEU	CEU	77649286
v9ws2sN	CEU	CEU	2977909930
moBJAAv	CEU	CEU	2103342951
qmhWXpL	ACB	ACB	774003793
hSKrEwe	CHS	ASW	2398832123
Qid9RkY	CEU	CEU	3847563866
tUttaed	CEU	CEU	3336207745
8QqPlFo	CEU	CEU	353046252
cEfIsby	ESN	ESN	1846957963
t6dtMHs	ACB	ACB	1127904262
9oqqLFR	CEU	CEU	2832794031
WEXdaUH	ASW	ASW	3971918004
QSv24XW	CEU	CEU	1214251124
cD6Jgy1	CEU	CEU	3698727391
xSBl5Fp	ASW	ASW	438580787
HzblYxM	MXL	MXL	799966819
wGj3rkG	CEU	CEU	786535442
8kBbbUI	CEU	CEU	3428446464
4gJqlH6	CEU	CEU	3265825536
zmY7j5M	CEU	CEU	3865002378
oLkd7xW	CEU	CEU	1904896614
0W36Q4D	CEU	CEU	617929215
D6yClx5	CEU	CEU	1012204711
VciJsMv	CEU	CEU	2532713685
ODI10ZR	CEU	CEU	2318155938
IohBoJ0	CEU	CEU	3839151395
5AMoAtD	ASW	CEU	933541448
TG9TtaM	CEU	CEU	3365298321
ZIhx61i	ASW	ASW	2152389720
qO48vpH	CEU	CEU	2142622774
23K0gIz	CHB	CHB	787897518
cRKlC6O	CEU	CEU	694121541
w5nxJP0	CEU	CEU	3205591815
vUSGhD8	ASW	ASW	3103843352
wnu0uCn	CEU	CEU	2617443016
JxybtWE	CEU	CEU	4078189194
fSBVnq0	CEU	CEU	1222761536
DDGK2ZZ	CEU	CEU	859665149
nUXYRs9	CEU	CEU	1136140013
