ID	MaternalHaploPop	PaternalHaploPop	Background
uMOxTAD	MXL	MXL	NgPjxh6,gpL8oSN,3D3T6SV
rOAtSSp	CEU	ASW	IQOJX7f,vZghDhd,xszmDzx
YRYTFlL	CEU	CEU	26lx59c,gRvPnBW,P2MnYj3
3YqslR4	CEU	CEU	HzeBHne,GSVQBY0,OygmBp2
yxVn13c	CEU	CEU	sS43p9G,6pObdJx,GKNu3rB
7G9BcwU	CEU	CEU	kU8DGAs,mFfueFP,nLiQ4h8
yND8G0h	CEU	CEU	xNqUCRJ,rMcmJVv,yTt999x
EvmY5Wm	CEU	CEU	U6KVN9z,HoP09Qu,nNZ2Oy8
jviGXVi	MXL	MXL	fHLmtZV,qxtEkQB,WdMJZah
yohBAIB	CEU	CEU	w0SY9E7,STCDVy7,sECMzCo
2gESeFD	ASW	ASW	MuTRPqG,mV5FMDn,U0Qd7bl
mbj7zhZ	ASW	ASW	8hEC8BZ,EgkreIj,uUo3qS4
Ho6V79C	ASW	ASW	BRQ7wRJ,uVtlUfs,Inszohn
R0Ti7ZD	CEU	CEU	L9tQci9,6AOl5Yy,zWfc2tM
uHMsEJf	GBR	GBR	QNi742L,omOrCKp,ddlw2Et
us8Unf5	CEU	CEU	UKuW1kn,0IoIONd,gP9o5YC
8blKDOH	ASW	ASW	nPlu4ny,kcylTs1,vYSywJ7
xsH1VqX	CEU	CEU	dLcZuwy,VS39MLR,L7BhA31
YNTribK	CEU	CEU	8EJ0RbC,1DVvkBs,qjkxDUb
AfLwyuG	CEU	CEU	adOo1Lc,uTE9m0V,SiAuC85
nAJgUgu	CEU	CEU	sQv2ZYy,siDxDw9,igfisYr
Tq6QrQn	ASW	ASW	WDhyOOd,eu9NNCL,jxd1MWY
IwpUE0z	CEU	CEU	IF5Jt9l,Q6BUEpq,XZs2SP4
Xc6qMnj	CEU	CEU	KjhEfuG,UNlOhPX,sRdSpaH
U6GcnVT	CEU	CEU	sSA4xic,thsZYXA,FvfHk5V
eF6AaD8	CEU	CEU	v0d5oUs,bkzzLeY,0BpraL6
UoULpqg	GBR	GBR	9y2I5Zy,LuP7VF1,F6JShia
qKXlPoq	CEU	CEU	YMpPL3k,62nAz8u,2IaFPuc
t7RT6zj	PUR	PUR	W5RNxoC,8KdDRPe,WkV6MhP
Dz05SGc	CEU	CEU	wL6auID,s8HdF9h,CcUHUHR
EKdhoOJ	CEU	CEU	Nv3TRmT,qKCt9v0,yohBAIB
kpOwfUS	CEU	CEU	cBIFY5F,KLbfQbR,tR1DhnI
QiYIg6N	CEU	CEU	LOd5zpL,xUhw19k,06A7oxW
L2hckrc	CEU	CEU	OWM78Mq,Ai1pQa2,1FbUbUL
VPLFFP9	CEU	CEU	uh4Y84y,TAFHXXT,tcfgW87
RgJ50b9	CEU	CEU	0C2ryJd,knrI92r,pgdY1T3
tYvFlYB	CEU	CEU	9Vunv8V,MBw6Ch1,vpQ9667
VrhmEyQ	CEU	CEU	ioIRPG7,HxQO7sh,0Gi1scE
dqB1Kto	CEU	CEU	736qbgM,eQL0kKG,5ws4vkL
BHmnngn	CEU	CEU	XZaNvEA,elmtEKm,sIh7RgR
EvtAR5c	CEU	CEU	MQD5MZa,9ImFnIn,wi4kl8e
uFxWkLy	CEU	CEU	4xiJNdz,WdsDHWA,uPrAgFL
MZuQAQW	ASW	ASW	nZo8Ifz,Wiz6qgK,FR00VVU
Iba3s8b	ASW	ASW	zTmTftS,W4GI9sq,qlsePMZ
NIAgza4	CEU	CEU	Zu2jbRB,iWVjuw1,gWkfPrw
UgouRcE	CEU	CEU	3ivAOCU,SeGIZhY,Qb0NmPe
YHjVgIs	CHB	CHB	drTm1s9,tWGRNcX,ZG3ECID
30bT6gP	CEU	CEU	RZoI72l,VhlRqc3,VxSRlji
rjaQpWT	ASW	ASW	pej3Wg6,7yuqZsD,qui5BdQ
LzOpc9Z	ASW	CEU	tWEdTCW,q0xjygk,d80Hmqi
3e5LRHX	CEU	CEU	SYEXjCw,dbLpdIg,ZDqwwUI
XJjy8xY	CEU	CEU	qcQEBea,kI6yoVF,xHRozpc
rM98MxZ	ASW	ASW	9HsZfO3,378SHc4,3IAdRkT
cbAuOJB	ASW	ASW	RsuKwLe,Gy6Br2L,1WCRamC
zD7wyy2	CEU	CEU	4ESF35W,iq4kvPG,0yAn2e2
9ezCf8n	ASW	ASW	yUjYuHR,LM1Y7lw,pM5tO4Q
kklYMB9	ASW	ASW	nLWWXpx,c7D6Vxw,CVvJ4n9
n3zYTQV	ASW	ASW	5CMKVDj,I6JWbc9,IJr2daQ
L5K7ui9	CEU	CEU	ugPVON4,ibdRdEk,YdMoahS
u87DBjo	CEU	ASW	CHB36Oy,6tIcxyx,7KBel49
LrZYfQl	CEU	CEU	6vsdhXP,uz3Yqk4,PIRxOgD
RahTENy	CEU	CEU	v8DQfs3,100nd94,rhRZ9mw
suXrIRO	CEU	CEU	xwOufRr,NnRy8lJ,rGJpcGZ
UOR60cw	CEU	CEU	B0DuHlY,vdDW1Or,dT0hXPS
xwE7Icn	CEU	ASW	S18ODY8,jhVwvuP,JXJfZAi
2CjxPuN	ASW	ASW	i30WB4p,v3hx02l,JKppFDR
kjm07sk	CEU	CEU	t4TrbhN,FmwKzOZ,FfXjIyl
44iwcmq	CEU	CEU	UUAD2zb,Dz7SSwm,yCKG0Dx
DRwLSAV	CEU	CEU	UtK0YxN,3XtvvNY,vwYNgL6
jleTW7z	CEU	ASW	33oQfdb,R4RhO9T,QmdBPDc
UGYDCCh	CEU	CEU	sAeYz3U,RhCXBEj,O7xPg7f
M88lHEX	GIH	GIH	89KCleX,TZDOPO9,CR5b75z
hu1BE99	CEU	CEU	zCviq0G,tz9Xf7B,EOqjM3c
z8QflIu	CEU	CEU	UtK0YxN,EYEtMd6,stgVC8N
WUwIyeP	ASW	ASW	z1XILSF,U0pAmSn,yIbLrzB
UCDTrek	CEU	CEU	evJascR,Haikxp8,WIgwIKW
hJcRiF6	CEU	CEU	24BLb6m,mU1XVNd,wg8XFj2
0TuTAfa	MXL	MXL	VG0CPsM,Iutnmaz,ZvKG4Ri
8UColRe	CEU	PUR	tbxRGjQ,6AUM8gv,eABr9t5
oFGGFS7	CEU	CEU	PA65bW3,pStejUh,RedUhI1
8PQLOkl	CEU	CEU	OUglrOF,LBwQdko,06ABzD4
u8NJnFR	CEU	CEU	ewHa1DS,1UBWTdF,mb98y9q
CROBAnZ	MXL	MXL	5dlbTRw,FBILxqn,TNM0F8X
sHALKGB	ASW	ASW	JvKnXWJ,nIocEg5,n87br7i
cmItGUs	CEU	CEU	srN2FqF,yAlHTnV,SmViwr7
DmFZ634	CEU	CEU	AAAvyKw,TPwboxL,ChMG7KS
9rXppKy	CEU	CEU	bz2RvKu,k3ZzllF,oG0JqOk
ckVOCXl	CEU	CEU	nZOvBes,vnDOV0j,FCtVaay
equ5cLN	CEU	ASW	AZQuTTg,xbaYVvu,hhjkcvZ
3nHxp1k	JPT	JPT	uYfcS2g,zwZEW3u,01oJDc4
EczAtZj	CEU	CEU	GSK18he,BCj0MIG,f5vunwe
DW5FU0H	MXL	MXL	Jf81Cky,mhotz3D,94Wd8zR
reIZEtp	ASW	ASW	cAmDGLw,lmuZFcP,9UXCkPH
9zFXqV2	CEU	CEU	AGJHz7L,vSLeo3X,ohkXAGM
kznJYAC	CEU	ASW	KXlJnxh,JFaSSHJ,uPGN28I
1hL4qhO	CEU	CEU	rkfMGu9,S7VO1g0,rbypVRr
c9iHXt8	CEU	CEU	MTsFJwg,wPeHLAn,thzj8cG
KFvFcaC	CEU	CEU	yWIpBXi,wsK94Zp,LCX2r2A
oohzvvR	CEU	CEU	NhRWU34,jP9qhHG,AEKUckO
zw063Xt	CEU	CEU	zhY78HI,3fnYON1,NcJwvgn
mgni2Je	CEU	ASW	33oQfdb,MjDTjo4,UiMgcCH
jN2TegE	CEU	ASW	jP96OrG,FKxmOBc,CMw5d3N
T97pMth	ASW	ASW	vmIXxpe,HZkiwGw,wA99mBS
YoiP07s	CEU	CEU	bOg2ATf,AzLjNUs,WRlkzA5
f5CUWJF	GBR	CEU	RD2zYin,N6RleiF,B90zVMf
KwPmBvn	ASW	ASW	fQXuMyY,ZYauAvE,4Qja4Qu
55PpzRB	MXL	MXL	7A60i6f,d0cgSHE,WTIPM3H
H1Jc1FG	CEU	CEU	NEYKzEu,fzszglb,UilsgTH
hfrmSFu	CEU	CEU	y9u0jZ9,SbeMS95,q3YKJFY
uqEs2zF	ESN	ESN	SqRQV5y,ZcSvkFW,SqK4ZdY
n7NosH2	CEU	CEU	Vr4aTo7,lHNL8HB,vO6AN5a
gJSqLi1	MXL	CEU	mRedPFV,byNTu79,5cOi0Y7
TFiV2yh	CEU	CEU	WdsDHWA,WYJFuoo,BBkYT7d
3s6XJJB	CEU	GIH	XHtEYyk,i9CPOpn,qeJwtI9
cNjdfLJ	CEU	CEU	lp3jONs,qUUGI4L,rvCxezB
xQ40iyI	CEU	CEU	C79oJKH,PaA9k2B,YS0Gkeu
pv84lf7	ASW	ASW	Fh3jSN5,TAubSXb,HCKtZF8
7Boqx6n	CEU	CEU	QscttSk,U5SsBUo,ZND91RI
uuVMmWC	CEU	CEU	KMxGtF4,lVdzR60,FkE8FKn
FakNUUn	CEU	CEU	5kQXukr,TxnzcGb,eRve4Yf
hftagi4	CEU	CEU	gAChJ0y,4F8adFS,QFFyjSL
xTO6ECt	CEU	CEU	cbahSPK,ed1R7Pi,VmgkQqH
ICIK2Vl	ASW	ASW	nIocEg5,AFpoVoY,3ELgGrz
UzG5eQC	GBR	GBR	p3QKkCK,PsJsF7i,Tdw23cE
fwG766o	CEU	CEU	Gnc7hN1,Wg5cjPG,en2DsrL
eKKanVN	PUR	PUR	6dJljEy,hBpzlXf,tc9DQWJ
9iBWnx8	ASW	CEU	TXc38hU,hslGnJn,Rjcy02I
CYnIujU	CEU	CEU	ee4xMoW,pLcY0bM,kTqJWdr
Wwi1Sfy	ASW	ASW	RcWLqTo,rP6z0io,UGRqRiS
5oUmznM	CEU	CEU	USzcR1G,Haikxp8,WefflOD
krbOVf5	CEU	CEU	iLiZXtY,eOk5fRu,s1srX2F
nW1dGz0	CEU	CEU	obHtfLM,2rY6OaU,eMtQqtg
q1uKEmz	CEU	CEU	lVzxY2E,XVrrsaf,TWHzcYj
99MP397	CHS	CHS	0QWVRLX,4Xod6cF,oI841UM
6q13zTj	MXL	MXL	vyebT3P,7zp80ax,KHOfoFY
fe0XjkY	CEU	CEU	UZE8p5K,A7zyRDL,jlbQiIC
U5YsiDH	CEU	CEU	a9szYM4,5EYBIJW,iVBoBIL
PDSpFB4	MXL	MXL	9KynpQw,2fkdsIP,xkdoVHu
jfLRPLO	CEU	CEU	qYMqsgw,UpdduY8,wS2bHAo
EA0YVho	CEU	ASW	sC5yxEd,8YfefOl,cqbpgqB
X5KIBgH	ASW	ASW	LCipv7c,DFTwxhP,V3UkYRy
IgRFjDK	GBR	GBR	MQxubon,20ihfw4,eduymIJ
WI8dFsB	MXL	MXL	cIC0PgG,AY4k2Zh,HpoRZCg
4kJOv3W	CEU	CEU	5svJg4x,ruoOy9j,udMd2jO
