ID	MaternalID	PaternalID	Seed
JfZMTOC	30LUvwC	NyURr3i	2296870494
meZ1iHl	tOUwDxT	YDELHvf	2563057646
hgdumzR	LNhQf87	jB9LZF9	3969753543
dHCSYrP	B7Ub5XW	1eBdrkw	3157813866
zuxxD8o	Y2Gergq	Zv7lJS8	2564202622
wpb04iu	EIfXWDF	Vv218AS	1462949017
JtoGPvh	bV2qKRn	7YpbuS9	1817820393
FHH7LfM	t8B6Jph	mG38Zbe	1038201924
AfgVYOx	4oD9KHg	WdMJZah	3983796957
ELEJZWx	47kHQw8	rV41Gdv	3940175041
10yxLBb	NGuqx30	vAhxYq6	3049108494
s1DQLaR	8KdDRPe	yE1hJJa	3581754139
B8UrWtT	Jop9Auk	1CJJGGo	1942705073
8InV4Sc	PY3V3Ab	YSyteRv	22635898
UP9CMDk	Q6a3K8C	GZF3TeZ	428918623
54gCT4e	Vn3p7cT	1WNjxvK	141942537
0d4vplT	RJYv6ui	47kHQw8	228508900
Iq6aGHj	utSvUwc	lqd27U1	2200938120
zbZzH1V	dz0uStB	MWVAi2K	3765619806
FE3X988	QZYsNfc	5Noa491	3956319366
38ezDkd	xf1c9K2	jg1FnvQ	1817709849
vuwMaJT	jyMpAHE	gWkfPrw	968293757
4UDUdeU	c3h1KvH	3vHg2Ch	901336832
RGPWTur	R5FXHeD	1wn8S3B	1557739292
nyxJ5ab	xsH1VqX	wmMnbMQ	291882508
NpHIBep	5EMnMc9	LQo6YxJ	1528505756
aFZ8so9	Ck9W1LM	HQfW0qh	1557917765
yirHlUl	1UER2fc	4sIerV3	660884300
kpEiJBe	NzyAxcP	sAr4jaY	902506820
6YIi0b3	COCJCeb	WCSJn5i	1017465994
xcBQLiC	OLoGJog	kRgay2u	3964218948
pg6oPRo	gmFIZBu	dLo1FCi	1697671457
hmQNfEd	kCoDy70	YbEnQ8K	3523804757
xfKUd9h	8nmxvWL	rrxkr4c	3948564
kbhQwby	CuazgvA	kSDJfCr	3415232248
DAxNGEx	uHY0RTt	vxdMYhA	1900812254
X0OrQjm	QQwT9ag	39uCZJS	787899159
DTUYcbs	VPce2tT	QpYUrKQ	1141791454
oa0vYFW	xg4okDY	1Fj8u2r	3131090796
aXow74C	hyVtg9K	mkBm3Hr	1239488742
YmurUAx	yIStbX7	GKiNJ8J	774055287
9Dvuicc	a5OAcye	dQ8JXpE	1870365154
YjrNSba	Cy8K55j	W0snA99	3956957508
x6Irypk	NLRsVXy	x3SNuSx	64271089
Y3cZQlU	gx9yIme	QiinyJl	3502936181
oz4yB3J	MWGR7qL	MGl53P1	4260463116
jTR6oAT	zsFkcPn	WYwIYA6	3383369603
ftJYKv8	uSwiwK5	Hew5hbm	3672370580
F0Nkf3e	YhQbugj	82fSTwk	587366336
5TgiYks	WAi5Cub	zO2iwkp	1439088366
KLGKeIT	QCxyoV2	CBcesSg	42356442
G37SgIj	w0qZC6f	4Kjs30q	1829090193
XMrdQgs	R1H4oWB	BeYD2d0	2683470692
PyxGuDi	UhnM0BH	ZsYU23p	1646508232
bkgipOp	tduoxSS	mG38Zbe	987773318
YOcPh1Z	VxqUFOz	YxuD1D8	235901724
IlsnADd	0QWVRLX	Po5i8yY	76009237
iRvLa4u	ifntkLx	HSJaDvo	296350113
3UwUZC8	6fTw3v8	zi5dP5L	2745505956
Xj5HAYi	reIZEtp	JwyecIv	2494103411
OsKByG7	3MPKty0	r4VktqM	3109953382
RRsW29C	mcBvldW	PJzIkjm	651659236
rpDN1Xp	WevC5Lr	DFWhnLc	3626867353
RbSVt0K	h1eaYW9	ThytoC9	50940727
cvdWWfN	HtmuSNB	eF6AaD8	2611271751
QTrWOwy	AxZKRMs	Nj7MGtv	3856885244
M9YJxEV	RSDWyvy	RWxKWmd	4033713610
7ddy7ha	Df8GGkB	C0KiIAC	2504672226
yGArTE8	1McgBxc	11VUdt3	3862053582
TxRgzTl	jGSPwwU	9xGsmKN	1700412258
MFTMeSb	5UkUAOx	3hqqQDs	3527182516
aSdHKtb	VjfCe4d	zshV9Bf	779731657
6hAgXYG	4MkEBKc	LX5Cj5e	4106988429
jI6qyey	47AWQGn	s69mJp3	3770008329
DtfiL2I	w1McKCJ	Df8GGkB	2850316618
9yyLLAJ	KBGr8cE	7hZ36dj	456890881
ZkVjdBE	fXMIGW1	cptpaLe	1593114111
zA7Qib2	kfIZoyl	cv76QWj	2613790525
rapHzGg	B4LyDbd	ypac2GE	4122797647
Cak6OrW	s7ErMAp	sar1swH	4263158178
K06Xy4N	GQag5EY	eGeYwL8	3189312420
Ts0URmw	AIwJD1b	tR8r0iB	3701225010
pqp7dJ9	RqVCElR	cc6M9fL	3448275677
fPKMmRG	tIqfqx0	ntnP4ER	2319900138
VAn59TC	8EJ0RbC	iRQzxFI	3053913210
tAhzAdH	iIvnncl	Zkhn288	4006321874
6CeBJaj	zSewmvW	H5ANxKA	1491814437
R9XqPX3	PtEyv3L	RQ0kCAM	3726846033
hkVFpjA	DCSHQnH	hYXBPZY	3924658762
FTpdqT4	Fh3jSN5	cB18WKr	486955928
